workerid,rt,trial_type,name,responsetype,gender,num_objects,object,effect,actual_cause,cause,response,other_gender,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,19526,cause_effect_prior,Donna,confidence,F,15,cameras,flashed,<strong>Donna took a picture with  15 cameras.</strong>,took a picture with __,0.7,M,3,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,19526,cause_effect_prior,Donna,ci_low,F,15,cameras,flashed,<strong>Donna took a picture with  15 cameras.</strong>,took a picture with __,1,M,3,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,19526,cause_effect_prior,Donna,ci_high,F,15,cameras,flashed,<strong>Donna took a picture with  15 cameras.</strong>,took a picture with __,15,M,3,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,19526,cause_effect_prior,Donna,best_guess,F,15,cameras,flashed,<strong>Donna took a picture with  15 cameras.</strong>,took a picture with __,15,M,3,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16481,cause_effect_prior,George,confidence,M,15,birthday cards,had the letter Z in them,<strong>George wrote  15 birthday cards.</strong>,wrote __,0.5,M,4,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16481,cause_effect_prior,George,ci_low,M,15,birthday cards,had the letter Z in them,<strong>George wrote  15 birthday cards.</strong>,wrote __,1,M,4,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16481,cause_effect_prior,George,ci_high,M,15,birthday cards,had the letter Z in them,<strong>George wrote  15 birthday cards.</strong>,wrote __,4,M,4,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16481,cause_effect_prior,George,best_guess,M,15,birthday cards,had the letter Z in them,<strong>George wrote  15 birthday cards.</strong>,wrote __,3,M,4,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16188,cause_effect_prior,John,confidence,M,15,card towers,fell down,<strong>John punched  15 card towers.</strong>,punched __,0.49,F,5,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16188,cause_effect_prior,John,ci_low,M,15,card towers,fell down,<strong>John punched  15 card towers.</strong>,punched __,1,F,5,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
